source,target,color
58490,67676,4
58490,76241,4
58490,81208,4
58490,81209,4
58469,59581,4
58469,59590,4
58491,59627,4
58491,59628,4
58491,59648,4
58491,60767,4
58491,60769,4
58491,60778,4
58491,62042,4
58491,62068,4
58491,62070,4
58491,62083,4
58491,81243,4
58491,59604,4
58491,59625,4
58508,62042,4
58508,81243,4
58508,60738,4
58508,59590,4
58508,59604,4
58508,59625,4
58508,59656,4
58508,60720,0
58508,60721,0
58508,60740,0
58510,62042,4
58510,59649,4
58510,60739,0
58510,59629,4
58510,67622,0
58510,67630,0
58510,69828,0
58510,77427,16
58510,78408,16
58510,59604,4
58510,59625,4
58511,62042,4
58511,59649,4
58511,60739,0
58511,59629,4
58511,67622,0
58511,67630,0
58511,69828,0
58511,77427,16
58511,78408,16
58511,59604,4
58511,59625,4
59589,60686,4
59589,60769,4
59589,62012,4
59589,62024,4
59589,60751,4
59589,60752,4
59589,62067,4
59589,60695,4
59589,60738,4
59589,62033,4
59589,59590,4
59589,62079,4
59589,60765,4
59589,60768,4
59626,59627,4
59626,59648,4
59626,60719,4
59626,62012,4
59626,63233,4
59626,60738,4
59626,59590,4
59626,59604,4
59626,63242,4
59626,64358,4
59626,64369,4
59626,64370,4
59626,59625,4
59626,64343,4
59626,199029,5
59626,200111,5
59626,201234,5
59626,59656,4
59626,60720,0
59626,60721,0
59626,60740,0
59627,60739,0
59627,58509,4
59627,60738,4
59627,63242,4
59627,59650,0
59627,59656,4
59627,60720,0
59627,60721,0
59627,60740,0
59628,62042,4
59628,59649,4
59628,60739,0
59628,58509,4
59628,59629,4
59628,67622,0
59628,67630,0
59628,69828,0
59628,77427,16
59628,78408,16
59628,60738,4
59628,59656,4
59628,60720,0
59628,60721,0
59628,60740,0
59647,64359,4
59647,60751,4
59647,60738,4
59647,59590,4
59647,63242,4
59647,64358,4
59647,60754,4
59647,60779,0
59647,62082,0
59647,62098,0
59647,63241,4
59647,63263,4
59647,63279,0
59647,63325,0
59647,66618,0
59647,67645,0
59647,70903,18
59647,73135,0
59647,76353,0
59647,76354,0
59647,76355,4
59647,77382,0
59647,77395,0
59647,81242,18
59647,82169,18
59647,82180,18
59647,83131,18
59647,59656,4
59648,58509,4
59648,60738,4
59648,59590,4
59648,59656,4
59648,60720,0
59648,60721,0
59648,60740,0
59658,62083,0
59658,64359,4
59658,70880,0
59658,60751,4
59658,60738,4
59658,59590,4
59658,64358,4
59658,60754,4
59658,60779,0
59658,62082,0
59658,62098,0
59658,63241,4
59658,63263,4
59658,63279,0
59658,63325,0
59658,66618,0
59658,67645,0
59658,81219,0
59658,81242,16
59658,82169,18
59658,83131,18
59658,70870,0
59658,59656,4
59658,63278,0
59658,68769,0
59658,70871,0
